Cars,Power,Year,Car type
Ferrari LaFerrari,963,2013 - present,coupe
Porsche 918 Spyder,887,2014 - 2016,convertible
Ferrari F12 Berlinetta,740,2012 - present,coupe
Lamborghini Aventador,700,2011 - present,coupe
Mclaren 675,675,2015 - present,coupe
Ferrari 488 GTB,670,2015 - present,coupe
Ferrari 488 Spider,670,2015 - present,convertible
Ferrari FF,660,2011 - 2016,coupe
Ferrari Enzo,659,2002 - 2004,coupe
Mclaren 650 Spider,650,2014 - present,coupe
Mclaren 650,650,2014 - present,coupe
Lamborghini Murcielago,640,2006 - 2011,coupe
Lamborghini Murcielago Roadster,640,2007 - 2011,convertible
Mercedes-Benz SLR McLaren Roadster,626,2007 - 2009,convertible
Mercedes-Benz SLR McLaren,626,2003 - 2008,coupe
Mclaren 12C Spider,625,2012 - 2014,coupe
Ferrari 599,620,2006 - 2012,coupe
Porsche Carrera GT,612,2003 - 2006,convertible
Ferrari GTC4,610,2016 - present,coupe
Lamborghini Huracan,610,2014 - present,coupe
Aston Martin DB11 Coupe,608,2016 - present,coupe
Mclaren 12C,600,2011 - 2014,coupe
Rolls-Royce Wraith,593,2014 - present,coupe
Lamborghini Murcielago Roadster,580,2004 - 2007,convertible
Audi RS6 Avant,580,2008 - 2010,wagon
Lamborghini Murcielago,580,2001 - 2006,coupe
Aston Martin Vanquish,573,2012 - present,coupe
Aston Martin Vanquish Volante,573,2014 - present,convertible
Mercedes-Benz SLS AMG Roadster,571,2011 - 2014,convertible
Mercedes-Benz SLS AMG,571,2010 - 2014,coupe
Ferrari 458 Spider,570,2011 - 2015,convertible
Rolls-Royce Dawn,570,2016 - present,convertible
Mclaren 570,570,2015 - present,coupe
Ferrari 458 Italia,570,2010 - 2015,coupe
Nissan GT-R,570,2016 - present,coupe
Cadillac CTS Wagon,564,2010 - 2015,wagon
Cadillac CTS Coupe,564,2010 - 2015,coupe
Ferrari California,560,2014 - present,convertible
Audi RS6 Avant,560,2013 - 2014,wagon
Audi RS7 Sportback,560,2015 - present,hatchback
Bentley Continental GT,560,2003 - 2011,coupe
Audi RS7 Sportback,560,2013 - 2014,hatchback
Bentley Continental GTC,560,2006 - 2012,convertible
Audi RS6 Avant,560,2015 - present,wagon
Aston Martin V8 Coupe,558,1997 - 2001,coupe
Lamborghini Diablo,550,2000 - 2001,coupe
Jaguar F-type Coupe,550,2014 - 2017,coupe
Jaguar F-type Convertible,550,2017 - present,convertible
Jaguar XF Sportbrake,550,2012 - 2015,wagon
Jaguar F-type Coupe,550,2014 - present,convertible
Jaguar F-type Coupe,550,2017 - present,coupe
Ferrari 612 Scaglietti,540,2004 - 2011,coupe
Audi R8 Coupe,540,2016 - present,coupe
Audi R8,540,2016 - present,coupe
Mclaren 540,540,2015 - present,coupe
Audi R8 Spyder,540,2016 - present,coupe
Lamborghini Diablo,530,1999 - 2000,coupe
Lamborghini Diablo,530,1990 - 1999,coupe
Bentley Brooklands,530,2008 - 2011,coupe
Porsche 911 Cabriolet,520,2012 - 2016,convertible
Ferrari F50,520,1995 - 1998,coupe
Lamborghini Gallardo Spyder,519,2006 - 2014,convertible
Mercedes-Benz CL-class,517,2006 - 2010,coupe
Aston Martin DBS Volante,517,2010 - 2012,convertible
Aston Martin V12 Vantage Roadster,517,2012 - present,coupe
Aston Martin DB9 Volante,517,2012 - 2016,convertible
Aston Martin DB9 Roadster,517,2012 - present,convertible
Mercedes-Benz SL-class,517,2008 - 2012,convertible
Aston Martin DBS,517,2008 - 2012,coupe
Aston Martin V12 Vantage Roadster,517,2012 - present,convertible
Aston Martin V12 Vantage Coupe,517,2010 - present,coupe
Aston Martin DB9 Coupe,517,2012 - 2016,coupe
Mercedes-Benz SL-class,517,2006 - 2008,convertible
Ferrari Superamerica F1,515,2005 - 2006,coupe
Ferrari 575M Maranello,515,2002 - 2006,coupe
